"","tax_id","stnum","stname","zip","frontfeet","depth","sqft","acres","nhood","ward","censustract","landuse","yearbuilt","units","vacantbuild","watersvc","assessedland","assessedval","citytaxable","starc","taxtrust","amtdelinqt","taxyrsdelinqt","overduewater","totint"
"68","31150010200000060060000000","601","TOWNSEND ST S & MCCARTHY","02109",403.61,562.05,175975.897893552,4.039851,"Downtown","15","32","Apartment",1985,257,"N","A",2601500,10953000,244250,244250,NA,0,0,14008.34,0
"69","31150010200000140070000000","451","WARREN ST S","13035",37,87,3206.84194700568,0.073619,"Downtown","09","32","Commercial",1975,0,"N","A",193100,325000,325000,325000,NA,0,0,0,0
"70","31150010100000080040020000","457","SALINA ST S","13204",38.99,148.5,5686.64660895107,0.130547,"Downtown","09","32","Commercial",1980,0,"N",NA,338000,380000,380000,380000,NA,100399.07,17,0,33430.8
"71","31150010200000060070000000","506-14","MADISON ST","13204",193.5,150.54,29768.5843371428,0.683393,"Downtown","15","32","Parking",0,0,"N","A",4e+05,4e+05,4e+05,4e+05,NA,0,0,0,0
"72","31150010100000080030010000","147","ONONDAGA ST E","14604",171.67,45.86,17513.9101492639,0.402064,"Downtown","09","32","Parking",0,0,"N",NA,3e+05,420000,420000,420000,NA,0,0,0,0
"73","31150010100000080050000000","449-53","SALINA ST S","13202",56.87,148.5,7618.49536731611,0.174897,"Downtown","09","32","Commercial",1930,0,"Y",NA,330000,480000,480000,480000,NA,0,0,0,0
"74","31150010100000100030010000","450-60","SALINA ST S TO CLINTON ST","13202",143.38,273.24,40367.7853352621,0.926717,"Downtown","09","32","Commercial",1960,0,"N","A",888500,2535000,2535000,2535000,NA,0,0,806.39,0
"75","31150010200000070030000000","701-23","STATE ST S TO HARRISON ST","13202",257.08,535,127262.388105192,2.921542,"Downtown","15","32","Parking",1970,0,"N","A",1894000,2184000,0,0,NA,0,0,0,0
"76","31150010200000130060000000","424-26","MONTGOMERY ST & MADISON S","13202",80,158,14148.9806175794,0.324816,"Downtown","09","32","Schools",1960,0,"N","A",210800,410000,0,0,NA,0,0,0,0
"77","31150010200000130010000000","214-232","ONONDAGA ST E & MADISON S","13202",202.78,190,17000.9675677192,0.390289,"Downtown","09","32","Religious",1960,0,"N","A",364300,802100,0,0,NA,0,0,0,0
"78","31150010100000100020000000","444","SALINA ST S TO CLINTON ST","13202",100.21,273.24,27271.4950201133,0.626067,"Downtown","09","32","Community Services",1940,0,"N","A",747600,1565400,0,0,NA,1135.91,3,0,853.56
"79","31150010200000130050000000","414-22","MONTGOMERY ST","13202",123.92,120,10595.8897538566,0.243248,"Downtown","09","32","Religious",1960,0,"N","A",164400,524400,0,0,NA,0,0,0,0
"80","31150010200000140040000000","233","ONONDAGA ST E","13202",28.15,64.28,2143.89761461126,0.049217,"Downtown","09","32","Parking",0,0,"N",NA,39400,40000,40000,40000,NA,0,0,0,0
"81","31150010200000140080000000","443","WARREN ST S","13202",40,86,3476.8147093079,0.079817,"Downtown","09","32","Commercial",1975,0,"Y","A",103200,235000,235000,235000,NA,0,0,0,0
"82","31150010100000120020030000","102","DICKERSON ST","13204",118.28,871.9,140682.031805975,3.229615,"Downtown","09","32","Vacant Land",NA,0,"N",NA,2234000,2234000,0,0,NA,0,0,0,0
"83","31150010200000100020000000","600","STATE ST S & MADISON ST &","13202",283.29,287.43,81588.8606675785,1.873023,"Downtown","15","32","Community Services",1980,0,"N","A",1624400,48194000,0,0,NA,0,0,35,0
"84","31150010100000060020010000","333-49","SALINA ST S TO BANK ALLEY","13202",182,132,24989.0669097254,0.57367,"Downtown","09","32","Commercial",1950,0,"N","A",888500,1497000,1497000,1497000,NA,0,0,0,0
"85","31150010200000060020010000","522","GENESEE ST E TO TOWNSEND","13220",114.65,255.03,42442.8178563284,0.974353,"Downtown","15","32","Commercial",1985,0,"N","A",479800,968000,742000,742000,NA,0,0,0,0
"86","31150010100000070060000000","125","JEFFERSON ST E & WARREN S","13202",132,223.5,29556.4387035633,0.678522,"Downtown","09","32","Commercial",1975,0,"N","A",1034600,3203000,0,0,NA,0,0,20,0
"87","31150010200000090010000000","338","ONONDAGA ST E & STATE ST","13202",252.12,231.14,21710.5341712658,0.498405,"Downtown","15","32","Religious",1959,0,"N","A",343200,708100,0,0,NA,0,0,0,0
"88","31150010200000020090000000","327","MONTGOMERY ST","13202",33,132,4355.99070045031,0.1,"Downtown","15","32","Commercial",1970,0,"N","A",89100,100500,0,0,NA,0,0,44.41,0
"89","31150010100000050100000000","338-46","SALINA ST S","13202",40.97,113,4544.89879557888,0.104337,"Downtown","09","32","Commercial",1950,0,"N","A",180800,314000,314000,314000,NA,0,0,15,0
"90","31150010100000050200000000","407","CLINTON ST S REAR","13215",23,80,1710.52854362862,0.039268,"Downtown","09","32","Vacant Land",NA,0,"N",NA,11000,11000,11000,11000,NA,0,0,0,0
"91","31150010100000060040000000","331","SALINA ST S TO BANK ALLEY","11213",24.72,132,3263.04618006167,0.074909,"Downtown","09","32","Commercial",1900,0,"N",NA,126700,180000,180000,180000,NA,9801.53,4,0,673.02
"92","31150010100000050090000000","336","SALINA ST S","13202",20,136,2714.1120586355,0.062307,"Downtown","09","32","Commercial",NA,0,"N",NA,90000,128250,128250,128250,NA,0,0,0,0
